RV20, BB20036.msf, tcoffee, 0.854, 0.040, clustalw, 0.823, 0.060, muscle, 0.843, 0.040
RV20, BB20037.msf, tcoffee, 0.856, 0.040, clustalw, 0.781, 0.000, muscle, 0.825, 0.000
RV20, BB20038.msf, tcoffee, 0.926, 0.250, clustalw, 0.907, 0.330, muscle, 0.925, 0.330
RV20, BB20039.msf, tcoffee, 0.923, 0.100, clustalw, 0.902, 0.010, muscle, 0.909, 0.110
RV20, BB20040.msf, tcoffee, 0.917, 0.720, clustalw, 0.852, 0.630, muscle, 0.899, 0.600
RV20, BB20041.msf, tcoffee, 0.728, 0.370, clustalw, 0.667, 0.000, muscle, 0.710, 0.370
RV20, BBS20001.msf, tcoffee, 0.982, 0.940, clustalw, 0.987, 0.900, muscle, 0.971, 0.900
RV20, BBS20002.msf, tcoffee, 0.888, 0.400, clustalw, 0.891, 0.420, muscle, 0.885, 0.400
RV20, BBS20003.msf, tcoffee, 0.955, 0.290, clustalw, 0.946, 0.310, muscle, 0.956, 0.290
RV20, BBS20004.msf, tcoffee, 0.963, 0.610, clustalw, 0.956, 0.570, muscle, 0.963, 0.610
RV20, BBS20005.msf, tcoffee, 0.783, 0.110, clustalw, 0.765, 0.080, muscle, 0.785, 0.100
RV20, BBS20006.msf, tcoffee, 0.959, 0.540, clustalw, 0.895, 0.510, muscle, 0.963, 0.520
RV20, BBS20007.msf, tcoffee, 0.809, 0.330, clustalw, 0.790, 0.290, muscle, 0.784, 0.340
RV20, BBS20008.msf, tcoffee, 0.872, 0.280, clustalw, 0.811, 0.240, muscle, 0.839, 0.240
RV20, BBS20009.msf, tcoffee, 0.965, 0.620, clustalw, 0.949, 0.590, muscle, 0.955, 0.470
RV20, BBS20010.msf, tcoffee, 0.869, 0.400, clustalw, 0.801, 0.340, muscle, 0.849, 0.370
RV20, BBS20011.msf, tcoffee, 0.919, 0.630, clustalw, 0.892, 0.570, muscle, 0.894, 0.610
RV20, BBS20012.msf, tcoffee, 0.792, 0.330, clustalw, 0.750, 0.120, muscle, 0.778, 0.320
RV20, BBS20013.msf, tcoffee, 0.926, 0.650, clustalw, 0.747, 0.410, muscle, 0.871, 0.490
RV20, BBS20014.msf, tcoffee, 0.919, 0.300, clustalw, 0.853, 0.160, muscle, 0.890, 0.210
RV20, BBS20015.msf, tcoffee, 0.880, 0.480, clustalw, 0.891, 0.210, muscle, 0.910, 0.210
RV20, BBS20016.msf, tcoffee, 0.927, 0.550, clustalw, 0.843, 0.370, muscle, 0.895, 0.440
RV20, BBS20017.msf, tcoffee, 0.962, 0.580, clustalw, 0.931, 0.450, muscle, 0.959, 0.560
RV20, BBS20018.msf, tcoffee, 0.968, 0.690, clustalw, 0.946, 0.650, muscle, 0.951, 0.720
RV20, BBS20019.msf, tcoffee, 0.865, 0.200, clustalw, 0.785, 0.140, muscle, 0.855, 0.190
RV20, BBS20020.msf, tcoffee, 0.910, 0.650, clustalw, 0.836, 0.470, muscle, 0.880, 0.610
RV20, BBS20021.msf, tcoffee, 0.924, 0.260, clustalw, 0.904, 0.160, muscle, 0.909, 0.160
RV20, BBS20022.msf, tcoffee, 0.892, 0.330, clustalw, 0.804, 0.240, muscle, 0.861, 0.290
RV20, BBS20023.msf, tcoffee, 0.872, 0.330, clustalw, 0.887, 0.520, muscle, 0.880, 0.230
RV20, BBS20024.msf, tcoffee, 0.876, 0.150, clustalw, 0.893, 0.010, muscle, 0.866, 0.040
RV20, BBS20025.msf, tcoffee, 0.967, 0.550, clustalw, 0.957, 0.390, muscle, 0.958, 0.370
RV20, BBS20026.msf, tcoffee, 0.852, 0.340, clustalw, 0.779, 0.260, muscle, 0.830, 0.280
RV20, BBS20027.msf, tcoffee, 0.893, 0.540, clustalw, 0.814, 0.430, muscle, 0.854, 0.370
RV20, BBS20028.msf, tcoffee, 0.983, 0.720, clustalw, 0.967, 0.660, muscle, 0.976, 0.680
RV20, BBS20029.msf, tcoffee, 0.876, 0.100, clustalw, 0.858, 0.050, muscle, 0.882, 0.100
RV20, BBS20030.msf, tcoffee, 0.923, 0.350, clustalw, 0.921, 0.220, muscle, 0.929, 0.270
RV20, BBS20031.msf, tcoffee, 0.899, 0.130, clustalw, 0.812, 0.110, muscle, 0.888, 0.130
